0,1,2,adult,budget,credits,imdbId,movieId,overview,popularity,production_countries,release_date,revenue,runtime,tmdbId,vote_average
1,Toy Story (1995),Animation|Children's|Comedy,0.0,30000000.0,John Lasseter,114709.0,1.0,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",25.929000000000002,United States of America,1995-10-30,373554033.0,81.0,862.0,7.9
2,Jumanji (1995),Adventure|Children's|Fantasy,0.0,65000000.0,Joe Johnston,113497.0,2.0,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",4.426,United States of America,1995-12-15,262797249.0,104.0,8844.0,7.1
3,Grumpier Old Men (1995),Comedy|Romance,0.0,0.0,Howard Deutch,113228.0,3.0,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",5.768,United States of America,1995-12-22,0.0,101.0,15602.0,6.5
4,Waiting to Exhale (1995),Comedy|Drama,0.0,16000000.0,Forest Whitaker,114885.0,4.0,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",4.717,United States of America,1995-12-22,81452156.0,127.0,31357.0,6.1
5,Father of the Bride Part II (1995),Comedy,0.0,0.0,Nancy Meyers,113041.0,5.0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",6.199,United States of America,1995-02-10,76578911.0,106.0,11862.0,6.1
6,Heat (1995),Action|Crime|Thriller,0.0,60000000.0,Michael Mann,113277.0,6.0,"Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",12.902999999999999,United States of America,1995-12-15,187436818.0,170.0,949.0,7.8
7,Sabrina (1995),Comedy|Romance,0.0,58000000.0,Sydney Pollack,114319.0,7.0,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",7.62,Germany,1995-12-15,0.0,127.0,11860.0,6.1
8,Tom and Huck (1995),Adventure|Children's,0.0,0.0,Peter Hewitt,112302.0,8.0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",3.6660000000000004,United States of America,1995-12-22,0.0,97.0,45325.0,5.3
9,Sudden Death (1995),Action,0.0,35000000.0,Peter Hyams,114576.0,9.0,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,6.4,United States of America,1995-10-27,64350171.0,106.0,9091.0,5.7
10,GoldenEye (1995),Action|Adventure|Thriller,0.0,58000000.0,Martin Campbell,113189.0,10.0,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,22.596,United Kingdom,1995-11-16,352194034.0,130.0,710.0,6.8
11,"American President, The (1995)",Comedy|Drama|Romance,0.0,62000000.0,Rob Reiner,112346.0,11.0,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",8.217,United States of America,1995-11-17,107879496.0,106.0,9087.0,6.6
12,Dracula: Dead and Loving It (1995),Comedy|Horror,0.0,0.0,Mel Brooks,112896.0,12.0,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",8.981,France,1995-12-22,0.0,88.0,12110.0,5.8
13,Balto (1995),Animation|Children's,0.0,0.0,Simon Wells,112453.0,13.0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",9.842,United States of America,1995-12-22,11348324.0,78.0,21032.0,7.3
14,Nixon (1995),Drama,0.0,44000000.0,Oliver Stone,113987.0,14.0,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",6.459,United States of America,1995-12-22,13681765.0,192.0,10858.0,7.0
15,Cutthroat Island (1995),Action|Adventure|Romance,0.0,98000000.0,Renny Harlin,112760.0,15.0,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",8.629,France,1995-12-22,10017322.0,119.0,1408.0,5.8
16,Casino (1995),Drama|Thriller,0.0,52000000.0,Martin Scorsese,112641.0,16.0,"In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",11.058,France,1995-11-22,116112375.0,179.0,524.0,7.9
17,Sense and Sensibility (1995),Drama|Romance,0.0,16000000.0,Ang Lee,114388.0,17.0,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",8.767999999999999,United Kingdom,1995-12-13,134582776.0,136.0,4584.0,7.4
18,Four Rooms (1995),Thriller,0.0,4000000.0,Combustible Edison,113101.0,18.0,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,10.991,United States of America,1995-12-09,4300000.0,98.0,5.0,6.3
19,Ace Ventura: When Nature Calls (1995),Comedy,0.0,30000000.0,Steve Oedekerk,112281.0,19.0,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",12.027999999999999,United States of America,1995-11-10,212385533.0,90.0,9273.0,6.2
20,Money Train (1995),Action,,,,113845.0,20.0,,,,,,,11517.0,
21,Get Shorty (1995),Action|Comedy|Drama,,,,113161.0,21.0,,,,,,,8012.0,
22,Copycat (1995),Crime|Drama|Thriller,,,,112722.0,22.0,,,,,,,1710.0,
23,Assassins (1995),Thriller,,,,112401.0,23.0,,,,,,,9691.0,
24,Powder (1995),Drama|Sci-Fi,,,,114168.0,24.0,,,,,,,12665.0,
25,Leaving Las Vegas (1995),Drama|Romance,,,,113627.0,25.0,,,,,,,451.0,
26,Othello (1995),Drama,,,,114057.0,26.0,,,,,,,16420.0,
27,Now and Then (1995),Drama,,,,114011.0,27.0,,,,,,,9263.0,
28,Persuasion (1995),Romance,0.0,0.0,Roger Michell,114117.0,28.0,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",3.1430000000000002,France,1995-05-01,0.0,104.0,17015.0,7.6
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,,,,,,,,,,,,,
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,0.0,2300000.0,Zhang Yimou,115012.0,30.0,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,2.773,China,1995-04-30,0.0,108.0,37557.0,7.0
31,Dangerous Minds (1995),Drama,0.0,23000000.0,John N. Smith,112792.0,31.0,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",6.19,United States of America,1995-08-11,179519401.0,99.0,9909.0,6.5
32,Twelve Monkeys (1995),Drama|Sci-Fi,,,,,,,,,,,,,
33,Wings of Courage (1995),Adventure|Romance,0.0,0.0,Jean-Jacques Annaud,114952.0,33.0,,0.763,France,1996-09-18,0.0,50.0,78802.0,6.6
34,Babe (1995),Children's|Comedy|Drama,0.0,30000000.0,Chris Noonan,112431.0,34.0,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",9.165,Australia,1995-07-18,254134910.0,89.0,9598.0,6.1
35,Carrington (1995),Drama|Romance,0.0,0.0,Christopher Hampton,112637.0,35.0,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.",2.221,France,1995-05-25,0.0,121.0,47018.0,6.9
36,Dead Man Walking (1995),Drama,0.0,11000000.0,Tim Robbins,112818.0,36.0,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution.,11.745,United States of America,1995-12-29,39363635.0,122.0,687.0,7.4
37,Across the Sea of Time (1995),Documentary,0.0,0.0,Stephen Low,112286.0,37.0,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",0.6,United States of America,1995-10-20,0.0,51.0,139405.0,4.3
